,x,y,id
0,12.81232,1.6196147,1486397
1,12.171167,5.167173,1570538
2,13.742012,3.759673,525580
3,11.931652,6.231768,1442848
4,9.705248,14.067806,962622
5,13.786344,13.462058,959638
6,8.528053,6.043124,1830664
7,8.712702,-4.02734,506319
8,11.648732,4.3472776,1013929
9,3.8785694,5.2474747,2262394
10,11.132427,6.0292645,508645
11,12.1892605,12.016295,1602009
12,9.248478,1.8877789,1435197
13,9.182985,3.3645008,1442691
14,10.976699,11.112585,959374
15,7.666311,-2.5071933,1486476
16,8.014662,14.042321,965546
17,7.09023,-1.5738606,1574018
18,10.7586975,-2.651747,1555938
19,8.918502,-3.3585443,1253090
20,9.773556,5.459828,1605436
21,8.954599,13.077662,967175
22,9.503202,5.476209,1432817
23,12.144266,-2.4207478,1564572
24,12.477292,3.4538598,573286
25,11.414152,2.940037,842114
26,9.865656,-4.086829,1423850
27,9.107153,-2.1835194,1848256
28,8.721261,14.478428,967645
29,9.92053,5.1057143,2264610
30,8.431927,6.616138,2018340
31,9.147999,-3.5574408,1294552
32,12.161074,3.6882699,1575668
33,6.1719174,-3.2156405,2222595
34,10.384535,13.525176,961678
35,9.684988,2.4159408,798606
36,9.175575,-1.4841034,1822263
37,8.87734,6.779412,2032042
38,11.826441,11.301205,2394981
39,13.015127,-5.9803615,2260477
40,12.625266,11.773944,963160
41,9.63219,2.3617795,1439203
42,9.341916,13.055591,967206
43,13.150442,12.975693,965120
44,9.296921,-3.5808754,1307509
45,10.195314,4.414312,1560515
46,13.048975,-6.5085106,2260001
47,10.2262335,4.586282,824535
48,12.929127,-6.671653,2260067
49,9.613918,2.4146938,740117
50,8.905682,-1.1305946,1854765
51,11.422355,-1.4895134,2394458
52,8.95707,14.314879,967031
53,10.211263,-2.6780324,538895
54,9.57865,12.787897,960650
55,8.4221735,6.3995,2018491
56,12.98018,3.8790016,1020833
57,9.838921,13.91978,962060
58,8.663574,2.0001454,960001
59,10.933206,11.267364,1936772
60,8.337475,1.6082435,1443110
61,13.382546,13.327036,963793
62,10.680951,-2.8065035,514869
63,9.397984,13.519726,2050202
64,9.709986,-3.442371,569766
65,8.547726,6.6162186,2030620
66,9.044838,13.966556,958517
67,9.185303,2.1936812,1434916
68,8.945567,2.1749215,1495768
69,9.92174,12.455863,965451
70,11.61295,0.9118945,545938
71,9.774814,-1.605427,828416
72,8.489999,-1.1494887,1656075
73,8.1736765,-2.9453216,558362
74,12.866356,12.505046,1066056
75,13.814249,13.298785,963248
76,8.950662,1.1847728,1439414
77,7.701033,12.803288,967059
78,13.304646,-6.5119104,2260799
79,13.069099,-6.531629,2259999
80,11.077205,11.056048,960127
81,10.847272,13.7687025,960441
82,13.293376,13.565045,967852
83,8.205191,14.512341,962068
84,9.941704,6.307499,1693447
85,11.476843,12.472725,965608
86,10.514186,0.7830382,1512626
87,13.022751,13.189655,963781
88,11.02721,4.5458016,2297553
89,9.231411,-3.2635837,1307501
90,13.435926,13.070447,967490
91,8.575028,13.107758,958911
92,9.432392,2.6276112,739364
93,11.355558,11.2083,1835625
94,10.763309,-3.1793685,503591
95,8.087418,6.741664,2033213
96,11.593624,0.8269347,2402156
97,11.989399,0.63965183,1576718
98,6.043514,-3.310498,546165
99,11.231074,2.2578516,1575608
100,8.551878,13.124462,741783
101,8.0672245,13.845887,963294
102,12.155713,12.253622,967711
103,9.32984,-1.9212735,1870510
104,10.712231,-2.8490832,507387
105,11.206759,-2.1528902,528762
106,11.542498,1.9613199,1840772
107,12.197127,13.402958,740875
108,7.745947,14.416712,962608
109,9.824494,6.7469926,2038021
110,13.103891,3.8452291,525590
111,12.693701,3.9797893,1623855
112,9.504101,5.5630274,1971326
113,11.659139,4.414682,2302326
114,8.2718,13.555944,959240
115,8.6565895,-2.7675223,1928787
116,7.6620874,-1.2502322,1877185
117,7.005019,-2.6781416,1866704
118,12.074716,10.693509,961226
119,6.601213,-2.2810175,501087
120,12.522713,11.257279,961974
121,12.978613,-5.8491073,2260009
122,10.812093,5.2381816,1518985
123,11.042379,12.502694,741005
124,12.946521,-6.8733196,2260747
125,10.719214,14.181332,960600
126,8.59279,6.812491,2032183
127,12.928143,-6.728781,2260092
128,7.77843,-1.4745929,1861326
129,12.195079,11.271836,797211
130,12.527856,11.792199,965611
131,7.4905334,-2.2143142,1716690
132,13.841988,13.49628,1435885
133,9.095666,6.7387714,2032039
134,12.346659,13.453404,959275
135,8.4787035,-1.6311209,753890
136,8.1258135,-2.2030058,1722659
137,11.777205,1.9008502,1913281
138,9.853669,13.177077,966980
139,8.667024,14.519018,961358
140,8.497584,-1.1140405,572483
141,7.578213,-2.5498695,2318971
142,9.221659,5.1827307,1428438
143,11.74608,1.9108452,1913205
144,11.915119,3.1840343,1870607
145,8.8459015,0.9582419,798815
146,6.7529902,-2.849314,754790
147,8.717584,-0.8461386,501164
148,8.692259,6.8057375,2029815
149,10.956047,11.615951,958387
150,7.4374194,-2.768872,1559567
151,5.9905753,-1.3104804,1251627
152,14.300113,12.976434,958666
153,3.9992144,5.3081613,2025517
154,12.18619,11.517963,962738
155,11.091057,5.302496,1970600
156,6.1006975,-1.4261782,506585
157,12.155715,-2.2980163,1560168
158,8.334999,14.006892,960599
159,12.088948,-2.0971494,1696127
160,9.612777,-3.4897332,516506
161,11.175625,12.927687,961510
162,13.592351,12.357411,963133
163,11.281791,5.14003,986753
164,10.075219,5.944754,2018854
165,10.76882,11.339864,968285
166,7.5543904,14.069781,960921
167,7.4086523,-3.523485,1838892
168,13.050092,-6.6755233,2260468
169,9.65159,5.4075804,1876276
170,9.738253,-3.808069,581314
171,12.938311,-6.887775,2260072
172,11.491671,0.97887206,1532530
173,11.555373,-1.4462156,1887687
174,11.203256,-0.6625709,1683076
175,11.671511,2.5148273,1603721
176,10.502543,-2.7279143,515406
177,11.845122,-0.95558536,539569
178,6.479023,-2.9988267,982249
179,12.741346,11.830583,966212
180,12.151732,-0.38252926,740919
181,8.845805,-3.2298965,1822262
182,8.458115,-3.5032322,1358252
183,6.2336497,-3.0831132,1011375
184,10.075358,5.6031866,1865548
185,7.9463353,-2.793225,1026888
186,10.018731,-3.0329084,1650864
187,13.052115,3.8159924,522852
188,13.276809,-6.671318,2260752
189,12.336062,12.018958,967304
190,11.38956,-1.7711569,1699927
191,13.198999,5.3802233,513328
192,8.964714,1.266665,1865779
193,9.788396,11.162789,960302
194,12.8512,1.7176652,1555163
195,10.759193,12.95232,1065536
196,3.62713,5.4200673,2262410
197,9.944392,13.362382,962257
198,9.385229,2.4262493,801768
199,11.384003,12.436101,967666
200,8.405953,14.1111555,958828
201,9.363922,-3.059689,1923023
202,7.2117243,-2.6820388,1558989
203,10.539814,0.87350535,1512593
204,9.169607,13.223714,963907
205,7.3945856,-3.5962353,569433
206,8.9013195,1.1112318,577628
207,11.816423,5.2804766,1970850
208,9.082054,2.1190078,1428428
209,11.855533,3.1009214,2294468
210,10.069609,1.3246739,1142947
211,6.694869,-2.9154449,1700726
212,12.7680855,-6.276071,2260698
213,9.822575,5.541979,829802
214,8.890847,-2.0900352,1696619
215,11.74301,-1.1199403,576065
216,7.7408514,14.216916,961901
217,11.322264,4.543098,1702516
218,13.421682,12.995485,958941
219,12.6990185,-6.306833,2260127
220,8.683586,14.675608,962266
221,9.051726,3.1637251,740038
222,11.685133,0.46801993,1532471
223,10.77356,1.0914259,1533997
224,9.661273,5.194006,1072033
225,12.389077,4.44949,1969722
226,8.381791,-0.47265217,1362502
227,6.4909763,-2.4116464,1817958
228,8.260991,-1.5525055,1487057
229,12.186748,10.898312,967494
230,9.337527,12.924605,961183
231,9.119544,3.2009234,1865397
232,9.572706,-3.8928063,504484
233,11.588954,1.8055638,1870661
234,9.477196,-4.5021434,1866021
235,9.285382,-2.8779368,1309913
236,11.96754,3.6573358,1575746
237,11.066837,6.1374702,507556
238,12.781776,4.066979,522781
239,10.309289,12.183812,964171
240,11.60326,4.748469,1876255
241,9.933473,13.77019,966203
242,9.756692,-2.7065227,530656
243,11.532079,-1.4104644,566121
244,10.4265785,13.579082,959278
245,13.029523,3.673764,1615708
246,11.30767,4.3860307,1575587
247,11.2737875,11.227488,959766
248,11.018898,10.923417,1936768
249,7.937441,-4.2605367,1853058
250,11.191988,-2.1052134,534284
251,7.4783,13.477069,961326
252,11.665241,1.2049161,1574049
253,8.188784,12.748767,962432
254,13.553841,12.933676,962514
255,12.947346,-6.764369,2260042
256,9.058569,1.1636802,2474518
257,-3.7411623,9.424612,960264
258,7.9612675,-0.93391967,555715
259,9.565044,2.3191676,501677
260,8.034417,12.514959,961719
261,9.662775,5.336056,1509997
262,8.436582,-2.7543492,1437494
263,13.337815,13.311194,967820
264,5.988533,-1.2487652,2293636
265,11.348685,-1.7701797,2028359
266,12.764475,1.6756382,515324
267,11.581344,12.25312,961530
268,7.680413,13.179933,502896
269,3.656083,5.407099,2262411
270,9.779759,-3.240067,1403666
271,7.1913657,-2.6815915,1559537
272,11.688187,2.0134413,1543496
273,13.796622,3.63142,525581
274,13.72714,11.721348,966934
275,7.4845953,14.408948,968272
276,8.324472,13.884855,968248
277,7.5655184,-2.0280135,575019
278,8.67633,13.34857,966406
279,9.670716,11.072077,961650
280,7.991809,-1.7928683,1512420
281,10.061067,6.005984,2018853
282,12.224505,10.7449255,2039291
283,11.245023,-2.0911841,534182
284,9.307886,-3.410255,980105
285,8.691618,13.824393,968292
286,7.528362,14.081283,962493
287,14.635979,12.98973,963476
288,9.398351,-3.6895,2230308
289,9.686864,13.136692,965891
290,8.376043,13.953607,960524
291,13.168009,11.575663,967766
292,9.183938,-3.538895,1294592
293,9.256749,6.707888,2031519
294,14.0013895,11.822222,966546
295,9.102993,-2.255312,1716689
296,9.2254925,-1.6089216,2348802
297,12.758287,5.2675686,1966983
298,12.584998,11.923957,967382
299,11.795009,12.268794,962364
300,9.911689,-3.91509,1294643
301,10.5632105,11.287294,555917
302,8.79542,14.513617,962791
303,12.451006,13.5681925,741182
304,8.522261,14.640064,966935
305,9.658387,5.1634164,1970951
306,13.576601,11.6871605,573926
307,11.507032,10.99214,2395581
308,8.11697,13.314722,962847
309,13.272408,11.982344,963118
310,11.757213,5.649598,1442966
311,9.791812,6.713235,2038013
312,6.521305,-2.9244785,509036
313,9.145881,6.032892,2018399
314,12.8770685,1.7952553,1964182
315,13.257757,-6.6424227,2260726
316,9.163734,13.831776,966809
317,9.747646,5.197755,1605463
318,8.066272,12.638953,966765
319,8.886627,2.9011803,1442820
320,10.162957,12.20613,963704
321,9.614801,11.095479,501331
322,10.299734,4.872478,850693
323,11.191694,11.236064,961757
324,7.9777136,14.471495,963179
325,11.824939,1.8276161,579433
326,10.070617,-3.8536747,2423863
327,8.229128,-2.0701268,569624
328,13.421116,11.869748,967935
329,9.4649,5.4888816,1448042
330,10.340735,-2.6091578,562507
331,13.045214,5.3951893,513307
332,7.355582,-2.491003,506512
333,8.860253,6.824685,2032031
334,8.596551,-0.94352305,1911515
335,12.127699,-2.2855442,1570219
336,12.936136,-6.793819,2260063
337,14.719227,12.989407,962105
338,12.948844,-6.7737117,2260083
339,8.536411,-3.6441815,1358245
340,11.13298,2.4686034,1499563
341,9.935045,2.2066588,800631
342,10.118345,-3.6235092,515021
343,13.32111,5.7345724,513317
344,8.059599,12.570805,965125
345,7.8430557,14.239125,966253
346,12.582575,3.3608525,2292816
347,8.665007,-3.5439103,1849337
348,13.167422,11.556878,958896
349,7.6498885,13.216884,740933
350,7.84926,6.702816,2018414
351,12.593804,13.226748,959030
352,11.645125,2.0522687,1555781
353,12.009772,1.5176849,1067686
354,13.277426,13.659284,963060
355,11.763296,4.8990326,1399747
356,9.676063,13.413811,959106
357,10.387616,13.470461,961298
358,11.126782,11.053863,967001
359,8.468623,6.5168962,2018223
360,10.644129,11.631065,967895
361,13.332815,5.597932,513321
362,8.092638,6.7545023,2018325
363,9.421474,2.6893988,800623
364,8.827625,-1.0187222,1901510
365,8.25699,13.460377,964154
366,10.695258,12.833268,968177
367,10.456019,0.8295827,2348745
368,8.977975,2.7410202,571000
369,8.620764,13.3246355,962548
370,11.378677,11.207072,963078
