id,x,y,sammlung
1486397,3.4922438,5.2796664,mek
1570538,1.8706086,8.252785,mek
525580,-1.0467215,6.0943384,mek
1442848,2.659749,9.386857,mek
962622,-3.6337051,10.919878,ang
959638,-5.416796,8.854979,ang
1830664,-0.15520096,10.621669,mek
506319,-1.8971094,-2.298224,mek
1013929,0.49645662,7.23449,mek
2262394,-0.5778976,21.652395,ang
508645,2.2110991,8.503274,mek
1602009,0.54042214,12.336339,mek
1435197,4.3383837,10.300663,mek
1442691,2.3578975,9.615735,mek
959374,-0.5996371,12.493085,ang
1486476,0.37774184,0.91056657,mek
965546,-6.0282006,12.103624,ang
1574018,0.774209,-2.1005626,mek
1555938,-3.193059,2.9956055,mek
1253090,-0.992612,-1.5845642,mek
1605436,-0.36191022,9.033282,mek
967175,-3.448165,11.71007,ang
1432817,-0.08475557,9.585745,mek
1564572,1.4836859,-7.0226035,mek
573286,0.7096747,4.501877,mek
842114,3.976999,3.9382036,mek
1423850,-3.0723376,-1.2069597,mek
1848256,4.2245383,7.24783,mek
967645,-4.5409307,12.048167,ang
2264610,0.013444479,10.602683,mek
2018340,4.203412,12.930407,mek
1294552,-1.660759,-1.5741035,mek
1575668,-1.68348,7.4177923,mek
2222595,2.6983762,0.71106744,mek
961678,-2.8587713,11.08916,ang
798606,5.4689984,8.769302,mek
1822263,1.0533175,1.9432539,mek
2032042,0.4221374,11.486228,mek
2394981,-0.03516822,11.652188,mek
2260477,12.227959,10.415913,ang
963160,0.48685792,14.430292,ang
1439203,-2.0827854,13.383415,mek
967206,-3.1333258,12.464989,ang
965120,1.3707861,16.387943,ang
1307509,-1.7081276,-1.0792295,mek
1560515,1.377789,5.545139,mek
2260001,11.930239,10.246496,ang
824535,2.29194,5.8732367,mek
2260067,12.31619,10.316287,ang
740117,5.6064415,8.977554,mek
1854765,-0.20797856,2.7554224,mek
2394458,-2.8017452,1.8283304,mek
967031,-3.461231,11.77408,ang
538895,-2.8214176,0.55097234,mek
960650,-4.1100054,12.347015,ang
2018491,4.144919,13.006861,mek
1020833,-0.038478673,6.891327,mek
962060,-3.2740676,11.0796385,ang
960001,5.2358456,10.172122,ang
1936772,-0.3714275,11.825912,ang
1443110,2.908253,10.807452,mek
963793,1.100452,17.373127,ang
514869,-5.111123,0.7402179,mek
2050202,-2.9382331,12.721669,ang
569766,-2.6998684,-0.9578741,mek
2030620,0.82637054,11.583367,mek
958517,-3.3753636,12.692988,ang
1434916,3.8552003,9.357483,mek
1495768,0.75927675,2.3850777,mek
965451,-1.7251327,11.980071,ang
545938,2.538666,3.4911811,mek
828416,3.819793,4.0452366,mek
1656075,-0.3756087,0.5791493,mek
558362,-0.8588103,0.42606255,mek
1066056,1.4162385,16.267977,ang
963248,2.0177655,16.379158,ang
1439414,4.6946387,8.005117,mek
967059,-5.5843616,14.191813,ang
2260799,12.027862,10.202906,ang
2259999,12.127236,10.819799,ang
960127,-0.47354326,12.2799,ang
960441,-3.235151,10.178583,ang
967852,1.7548417,17.171368,ang
962068,-4.902933,12.340421,ang
1693447,-2.2987401,10.116717,mek
965608,-0.84401304,14.555276,ang
1512626,4.7444654,5.6242013,mek
963781,-0.16073379,15.189032,ang
2297553,3.1457934,3.848729,mek
1307501,-2.0691888,-1.1157122,mek
967490,1.5239773,16.690481,ang
958911,-3.8433344,13.48455,ang
739364,5.683675,9.038335,mek
1835625,1.431441,10.644467,mek
503591,-4.128568,-0.22491018,mek
2033213,1.1696976,11.608659,mek
2402156,2.1082857,4.3218412,mek
1576718,2.5293832,4.122049,mek
546165,2.9282784,0.6334462,mek
1575608,1.3983186,5.1777325,mek
741783,-4.0061665,13.669554,mek
963294,-5.1788487,12.847016,ang
967711,-0.432713,14.304537,ang
1870510,-0.70895165,-0.47982642,mek
507387,-4.8113422,0.7012322,mek
528762,-4.020996,1.5887847,mek
1840772,1.6317817,5.4641,mek
740875,-1.2887198,15.78555,mek
962608,-5.925841,12.20813,ang
2038021,-1.7587241,10.595696,mek
525590,-0.26483184,6.452618,mek
1623855,0.20013945,6.568954,mek
1971326,-0.10095591,10.089674,mek
2302326,-0.059338022,7.677117,mek
959240,-4.840373,12.860361,ang
1928787,-1.442283,-0.13436185,mek
1877185,-0.7098582,2.9509208,mek
1866704,1.0004436,0.4245278,mek
961226,-1.0676671,13.633929,ang
501087,-1.5095917,1.5005245,mek
961974,0.6371805,13.916889,ang
2260009,12.143022,10.812424,ang
1518985,-0.39592493,10.534255,mek
741005,-2.8624313,14.11584,mek
2260747,13.962571,10.030512,ang
960600,-3.9020846,9.613007,ang
2032183,0.73839283,11.956155,mek
2260092,13.143262,9.805223,ang
1861326,3.93226,5.1240683,mek
797211,0.19724545,14.330642,mek
965611,0.7622033,14.437318,ang
1716690,2.4083662,2.2199974,mek
1435885,2.2260513,17.179913,mek
2032039,0.21960317,11.311319,mek
959275,0.46425962,16.968325,ang
753890,-0.850114,1.769368,mek
1722659,4.432726,6.547905,mek
1913281,1.9491857,5.7349057,mek
966980,-3.2453914,10.94347,ang
961358,-4.992569,11.161495,ang
572483,-1.3113959,3.0049758,mek
2318971,0.18067344,0.9472936,mek
1428438,-0.34942687,9.873396,mek
1913205,1.907887,5.5242286,mek
1870607,0.6235274,4.7532897,mek
798815,5.8646207,8.970421,mek
754790,1.6826802,0.65620536,mek
501164,0.053278375,2.7619584,mek
2029815,0.47133675,11.42267,mek
958387,-1.1759722,13.985907,ang
1559567,0.7489152,0.029149782,mek
1251627,-2.2321553,4.3934298,mek
958666,2.484106,16.508478,ang
2025517,-1.0198431,21.083183,ang
962738,0.6998453,13.773196,ang
1970600,0.71547776,8.505437,mek
506585,-1.8694583,3.8362298,mek
1560168,1.6377665,-6.792722,mek
960599,-5.1057906,11.456412,ang
1696127,-2.8131714,2.205183,mek
516506,-1.204411,-2.090298,mek
961510,-2.291807,14.003885,ang
963133,2.0311487,16.100363,ang
986753,-0.053736515,8.672769,mek
2018854,-2.872568,6.5649433,mek
968285,-0.9625788,12.590524,ang
960921,-6.476271,12.987777,ang
1838892,0.42241547,-0.54538685,mek
2260468,13.405356,9.86214,ang
1876276,-0.5710938,9.743179,mek
581314,-2.7503457,-0.9833986,mek
2260072,14.136462,10.105396,ang
1532530,2.787345,3.1427372,mek
1887687,-3.3608735,2.166848,mek
1683076,3.6263654,6.0116353,mek
1603721,3.7094815,5.8169456,mek
515406,-5.0807724,0.56407505,mek
539569,-2.5070121,2.274858,mek
982249,1.1138633,0.5509024,mek
966212,0.7049159,14.445896,ang
740919,4.905468,4.4667406,mek
1822262,-1.0916047,-1.6581252,mek
1358252,-0.6397338,-0.3413276,mek
1011375,2.4347174,0.79211396,mek
1865548,-1.403885,9.649351,mek
1026888,0.2022187,-0.36842257,mek
1650864,-3.9540122,0.6820408,mek
522852,0.22575551,6.2046413,mek
2260752,12.941153,9.473997,ang
967304,-0.78569245,14.254184,ang
1699927,-4.377312,1.9006172,mek
513328,2.442952,7.664511,mek
1865779,4.638493,7.332026,mek
960302,-3.2577043,14.629613,ang
1555163,3.6363032,6.1051145,mek
1065536,-2.5251076,13.625257,ang
2262410,-0.11814878,22.048143,ang
962257,-3.4583619,11.864517,ang
801768,5.482742,9.039078,mek
967666,-1.9745345,14.362584,ang
958828,-4.689654,11.949023,ang
1923023,0.03476331,0.433171,mek
1558989,1.1987973,0.03840821,mek
1512593,4.57285,5.9032063,mek
963907,-4.1043525,12.481532,ang
569433,0.30412507,-0.4611688,mek
577628,3.773909,9.773483,mek
1970850,0.9306446,8.946299,mek
1428428,3.8467898,10.309713,mek
2294468,2.9353893,6.8303432,mek
1142947,-0.3438236,3.412462,mek
1700726,1.0723162,-0.13914707,mek
2260698,11.670699,10.145788,ang
829802,-0.66318303,9.893614,mek
1696619,1.2203788,2.7115412,mek
576065,-2.2179673,2.4693189,mek
961901,-5.8407974,12.504151,ang
1702516,0.26616162,7.88443,mek
958941,1.6419792,16.814808,ang
2260127,13.341793,10.009246,ang
962266,-4.8886175,10.71498,ang
740038,3.042642,9.571377,mek
1532471,2.9051213,3.2842588,mek
1533997,-2.2613647,3.3897765,mek
1072033,-0.14579703,9.203034,mek
1969722,0.56705326,7.645315,mek
1362502,2.286417,9.843413,mek
1817958,1.8258381,0.34030744,mek
1487057,-1.1984547,1.8728529,mek
967494,0.22985421,13.706967,ang
961183,-2.4499516,12.809187,ang
1865397,2.3687818,10.615398,mek
504484,-2.7603986,-1.6650896,mek
1870661,1.7574872,4.6044436,mek
1866021,-3.0390923,-1.8983821,mek
1309913,-2.6865926,-1.7987791,mek
1575746,-1.7224411,7.4199305,mek
507556,1.1180391,10.88231,mek
522781,0.18956883,7.732005,mek
964171,-1.6625938,12.119093,ang
1876255,0.17228764,8.020586,mek
966203,-3.1756008,10.865604,ang
530656,-0.14717925,-0.43955213,mek
566121,-2.7658064,2.2477665,mek
959278,-2.992691,11.149656,ang
1615708,0.43195626,4.5525017,mek
1575587,1.9545833,8.572492,mek
959766,-0.4399759,12.451026,ang
1936768,-0.5066882,11.9616375,ang
1853058,1.3649962,2.2821126,mek
534284,-4.360726,2.0509858,mek
961326,-6.428657,12.395326,ang
1574049,1.8837148,3.537635,mek
962432,-4.591671,13.838395,ang
962514,1.3373097,16.46832,ang
2260042,13.021789,10.002086,ang
2474518,4.7914734,8.327433,mek
960264,-2.1561787,1.4332775,ang
555715,-0.9050362,2.778923,mek
501677,5.119257,9.107568,mek
961719,-4.5264587,14.324945,ang
1509997,-0.06842493,9.177523,mek
1437494,-0.92953396,0.28449485,mek
967820,-5.3341837,8.997123,ang
2293636,-2.1194274,4.505436,mek
2028359,-3.9899874,1.2378923,mek
515324,-5.0034194,0.39549738,mek
961530,-1.8851074,14.445128,ang
502896,-4.8777304,13.810741,mek
2262411,-0.13544801,22.007233,ang
1403666,-2.8473847,-2.0579603,mek
1559537,1.0125,0.09792531,mek
1543496,2.1424584,4.8283935,mek
525581,-0.91094977,6.150757,mek
966934,1.6598952,14.324754,ang
968272,-6.219858,12.342262,ang
968248,-5.9127765,12.00685,ang
575019,0.5619271,1.4212825,mek
966406,-3.5690463,13.102108,ang
961650,-3.4521334,14.944312,ang
1512420,-0.8015381,2.124478,mek
2018853,-3.0602343,6.454992,mek
2039291,-0.05367564,14.498267,ang
534182,-4.1737914,1.8821609,mek
980105,-1.4255369,-0.28549156,mek
968292,-4.5364785,11.395537,ang
962493,-5.016099,12.131826,ang
963476,2.5082505,12.195465,ang
2230308,-1.3179452,-1.2813073,mek
965891,-3.4209554,11.919157,ang
960524,-4.7877426,12.491164,ang
967766,1.8468622,14.590729,ang
1294592,-1.5447197,-1.7779307,mek
2031519,-0.7804992,11.084414,mek
