id,x,y,sammlung
968378,7.607106,4.3989773,ang
959351,2.8165598,2.5224638,ang
962134,7.320465,4.9759936,ang
961042,6.825333,4.5438223,ang
963307,4.795271,4.4351983,ang
962404,6.8789177,4.062601,ang
965736,6.5161157,3.974461,ang
2260698,3.8135262,1.765184,ang
963285,4.835877,1.5654997,ang
965125,6.8905783,5.674412,ang
961226,6.815628,3.5592074,ang
967219,1.4740213,3.4725335,ang
962743,7.106399,6.1347075,ang
963904,6.7461705,3.701401,ang
967648,6.0437646,4.097703,ang
968169,2.2740724,3.0000575,ang
958866,5.1702495,3.0353692,ang
967264,8.58421,2.4122684,ang
958444,3.8794422,4.3657436,ang
963378,8.084418,5.2461405,ang
962155,1.4933677,3.3731651,ang
967655,5.4571433,5.1940203,ang
967542,2.1762643,2.9423068,ang
2260042,3.6396258,2.0449088,ang
966557,1.6548227,3.1156325,ang
967342,8.116324,2.9046648,ang
958446,1.966919,3.762242,ang
959759,5.2925124,4.696066,ang
967666,5.2696824,3.3098962,ang
966253,7.566729,5.5562263,ang
964808,2.4805734,2.9213774,ang
961916,6.5300865,5.342882,ang
967405,4.4846063,3.1168828,ang
958736,1.8001939,3.0661254,ang
960631,7.3046026,3.3405032,ang
967554,1.6199231,3.2478714,ang
963117,5.454139,2.0081694,ang
965340,5.5805025,1.1790417,ang
967000,3.221537,3.4310443,ang
968126,5.2642336,3.3860216,ang
960997,6.8020554,3.8485293,ang
958450,7.797045,4.650297,ang
959439,4.966219,3.4213574,ang
960264,5.00924,5.9126267,ang
966612,7.3407736,5.1809707,ang
960014,4.970275,2.040204,ang
966980,7.090234,3.8369842,ang
958924,3.7170064,3.5386918,ang
965074,7.9416037,3.9496365,ang
2260795,3.3949528,2.2523737,ang
967381,5.5236063,4.544332,ang
2260846,3.8091183,1.9050888,ang
959638,5.6249285,0.89543176,ang
965035,8.222847,4.7469487,ang
964790,4.3487473,5.104468,ang
962474,5.3238072,5.818192,ang
960794,7.2401137,5.458642,ang
961939,2.1439168,4.0368805,ang
963571,7.4088125,5.855094,ang
964028,8.168867,5.2555513,ang
967736,2.2242167,2.2400665,ang
960954,2.4387088,2.8220792,ang
1795858,7.0886064,5.8441114,ang
963682,6.427725,3.63784,ang
963457,6.36304,5.402882,ang
962736,6.274536,5.403749,ang
958571,6.7025995,3.0569975,ang
961800,7.279123,5.3062563,ang
2262459,2.5298254,1.7959082,ang
965707,6.9853377,5.7060547,ang
963635,5.7174,5.011263,ang
960582,7.8915253,3.6766284,ang
961307,7.0283866,4.0820727,ang
963391,6.7958517,4.3955717,ang
963156,5.605077,4.001685,ang
1065758,7.469522,5.038089,ang
967175,6.6506166,4.0605655,ang
962268,7.8047557,5.4165874,ang
959848,6.8606377,5.67509,ang
967975,6.3836594,5.2941775,ang
962590,5.586089,0.8695414,ang
967225,7.347806,3.942477,ang
963284,6.8864,5.0166526,ang
961720,1.9824314,2.9176083,ang
2050181,5.513616,1.8840609,ang
967263,5.5634656,4.7354183,ang
1936775,2.4690218,2.810743,ang
962757,5.6835146,6.0619173,ang
962492,7.054217,4.6226335,ang
963940,7.3044543,5.407958,ang
2262370,2.6637654,1.730127,ang
966879,7.7698956,4.850943,ang
964150,4.174018,4.2874036,ang
960316,6.121152,4.422713,ang
960494,5.2708683,5.494316,ang
968114,1.5267614,3.5234504,ang
958733,6.741823,4.254642,ang
967541,2.1482778,3.6841211,ang
967821,6.8589516,5.6286225,ang
2025517,2.437114,2.1268556,ang
959556,7.887926,5.574822,ang
963753,7.051764,5.6865907,ang
958878,6.7264366,3.5771897,ang
961185,7.9520736,2.754205,ang
967466,7.2064843,5.971365,ang
967319,4.801061,1.3218608,ang
2260009,3.9824326,1.6288288,ang
2260116,3.343072,1.943927,ang
962573,7.64824,4.7898235,ang
961117,1.5989134,3.5595512,ang
966078,1.9823929,3.617265,ang
967464,2.118614,2.3232625,ang
967668,2.3259044,3.449231,ang
962417,2.457051,3.4317415,ang
965339,6.85933,3.8655696,ang
967220,7.9850674,5.607364,ang
962451,6.6727676,4.585295,ang
959354,6.7979712,4.8435087,ang
960702,1.6357427,3.7221732,ang
967028,2.040101,3.050751,ang
967066,4.3678274,5.326087,ang
963208,2.882645,5.0093746,ang
961103,7.402032,3.5943265,ang
