id,x,y,sammlung
1442879,10.827997,9.145139,mek
2260776,5.815616,2.5798528,ang
962559,5.2584743,6.3531227,ang
959030,6.9863796,8.620854,ang
965097,7.5188656,7.593958,ang
741003,7.2533183,8.32598,mek
1570139,9.325199,6.5137577,mek
1969889,12.870458,8.04315,mek
1618762,10.383349,9.138114,mek
506585,7.767319,10.253558,mek
516204,6.032726,9.591432,mek
574465,8.634996,10.409238,mek
1533997,4.3742657,9.074083,mek
577622,7.504667,10.213151,mek
2262557,10.546152,4.6147304,ang
2262528,10.386144,4.7713656,ang
1565186,11.336539,10.876326,mek
501087,8.577524,11.638354,mek
529651,9.993755,8.35241,mek
1853788,3.7630293,12.330401,mek
2038184,8.456618,7.5469947,mek
1029812,9.978291,4.9317555,mek
842649,10.562271,5.9770856,mek
1788368,8.189844,10.066958,mek
961530,5.8934517,8.627652,ang
583524,8.611768,10.407696,mek
1309900,6.8975654,12.260735,mek
2004844,10.327998,6.4316816,mek
2463913,10.43549,9.27754,mek
966611,10.9291525,5.9438505,ang
574920,9.544236,4.971782,mek
2018298,1.9247885,10.46211,mek
568643,5.920477,10.471823,mek
968092,6.4837933,6.0351543,ang
966568,7.725323,7.014746,ang
2260760,5.438133,3.1480868,ang
535311,5.377588,12.4018955,mek
2260678,5.32775,2.7878501,ang
1578040,9.3044615,9.610141,mek
973817,7.3216786,11.499109,mek
1399738,8.177218,8.149722,mek
572080,6.7407136,10.824103,mek
1021772,9.013382,12.279983,mek
1487057,6.563097,10.699844,mek
1702501,9.621419,8.166905,mek
528825,8.005268,12.033712,mek
828394,11.083809,7.342567,mek
1445137,6.590792,8.527969,mek
1849339,8.755122,4.91255,mek
1502133,11.591455,6.067794,mek
967110,5.2062893,6.0002704,ang
506321,6.5837383,11.8483925,mek
1358307,6.6992807,13.892958,mek
572082,8.162304,11.896747,mek
961224,5.4092703,7.4455843,ang
512270,7.0367093,11.87002,mek
510882,8.678714,9.969201,mek
2319858,6.2159343,11.413734,mek
962998,5.220301,6.0902624,ang
1969769,12.567706,8.287687,mek
1572627,11.436042,10.847864,mek
558896,6.3733425,11.03617,mek
2031529,3.655472,8.400607,mek
1575678,10.239635,6.0649,mek
958495,6.6608944,8.16155,ang
1433237,9.223338,6.8321037,mek
2317980,5.563566,12.227659,mek
1015271,9.683639,7.6829696,mek
1072512,8.843952,5.2577887,mek
963995,10.61576,6.4738836,ang
522835,8.558094,7.0772753,mek
455049,8.241375,8.455999,mek
503442,5.4570293,11.693294,mek
965951,5.5988436,5.9555135,ang
963131,4.391712,6.732229,ang
958554,8.664745,4.7902923,ang
740880,6.7157316,8.75925,mek
958665,8.52973,5.1852317,ang
963070,10.6945915,6.0989094,ang
1309712,7.49019,12.193173,mek
569624,6.48372,9.415307,mek
1632324,11.197154,5.689319,mek
501092,10.239429,9.995741,mek
2260754,4.9751034,2.9646244,ang
2006365,2.9465153,12.264891,mek
582872,7.339434,11.29471,mek
1438126,7.9003196,5.7089143,mek
1437238,4.4575863,11.192078,mek
517238,5.2364883,10.311813,mek
1532768,2.8292966,12.112914,mek
963432,6.458179,9.066731,ang
559759,5.9794536,11.02098,mek
740801,4.7221045,10.783268,mek
1512626,9.855044,10.464403,mek
501843,10.217647,8.802533,mek
1423857,7.205862,12.740492,mek
741782,7.125996,7.980556,mek
522875,9.261217,7.1464133,mek
528768,5.9861355,10.906308,mek
1553418,9.4923,5.7043757,mek
963002,7.610046,4.744834,ang
966684,4.894288,8.903911,ang
962472,7.7094336,4.7012987,ang
1743016,10.097525,10.379819,mek
959440,8.7632675,4.1112943,ang
2018267,1.3974199,10.601538,mek
1544510,9.0168495,6.936522,mek
501898,11.188886,9.306959,mek
581396,7.334865,11.628656,mek
507739,7.129949,10.202072,mek
801489,11.552095,5.2843466,mek
2030618,5.8592553,9.058215,mek
2423916,12.494572,6.4581842,mek
2260068,5.1793103,3.3466558,ang
2260791,5.4288845,2.712467,ang
963255,9.426442,4.028054,ang
967766,8.604157,4.696841,ang
1865841,7.114625,13.021614,mek
740094,13.2312765,6.601619,mek
1510821,11.260437,6.6663876,mek
967974,7.930977,6.464667,ang
823892,12.374919,5.5571194,mek
1499563,8.339025,8.436325,mek
501694,11.584656,8.600986,mek
1744849,10.254942,10.129597,mek
513309,11.634955,5.723513,mek
959354,5.430702,8.151805,ang
2264613,8.980894,7.4397845,mek
571623,12.303151,9.948211,mek
2018844,1.7516503,9.633845,mek
2262463,11.0692005,3.8915164,ang
2551404,10.306698,5.105271,ang
515240,7.460085,8.612535,mek
1882062,9.140051,7.9835157,mek
607667,6.76563,5.6625257,mek
959084,8.0818405,10.331332,ang
965856,10.547495,4.941639,ang
501338,7.9987555,7.310968,mek
2260718,5.7078414,2.8745599,ang
2012769,5.6737485,7.917035,mek
515994,6.2482553,9.765581,mek
501506,12.508824,9.820957,mek
2350894,7.552173,12.231817,mek
2398745,9.69616,6.866065,mek
1303911,6.0480657,11.023129,mek
958618,8.628002,4.323768,ang
966470,8.230035,8.542535,ang
578866,7.9737625,6.090737,mek
965482,7.7691116,9.285047,ang
964023,5.9984713,8.935041,ang
2024019,9.618962,5.6249666,ang
2260687,5.00707,2.9568436,ang
2276303,9.485438,4.6294847,mek
1500760,9.029944,7.598364,mek
961199,9.191838,3.8802738,ang
2030620,12.691238,6.1433554,mek
2023782,9.127766,4.57606,mek
607665,10.948832,6.3971524,mek
965642,7.2381864,8.549953,ang
1442925,11.545733,8.346786,mek
2295004,5.7197337,10.361537,mek
967800,4.947117,6.7674007,ang
2018303,1.6233631,9.493878,mek
1445071,9.389136,5.5703297,mek
962514,9.276212,4.01448,ang
1970850,12.683701,8.108972,mek
796392,8.580726,11.118785,mek
525590,8.680896,9.0492525,mek
794289,9.453307,7.9039245,mek
514993,6.063933,11.274989,mek
959321,8.902537,7.306116,ang
1389561,6.855334,10.955448,mek
1445114,4.332249,9.889954,mek
2030300,5.171455,6.549509,mek
1442941,11.599088,8.502881,mek
967917,8.110445,9.328643,ang
2326925,5.3757453,12.526242,mek
559349,7.0367203,8.496592,mek
965450,7.910188,8.390314,ang
525551,8.562162,8.880163,mek
1421195,7.0318217,13.16069,mek
1878064,5.9177775,10.675002,mek
2301429,4.8153744,11.035562,mek
518202,6.186506,10.361096,mek
1584588,11.188044,5.459483,mek
1865777,9.849816,9.668699,mek
1502123,11.028454,5.638581,mek
1479371,5.9811716,11.548114,mek
514566,4.3885036,12.708621,mek
958924,9.033547,5.4434276,ang
502665,5.5785165,13.384486,mek
961307,5.4856467,8.548666,ang
545939,12.566943,5.480414,mek
2293458,7.899022,11.883912,mek
522854,8.675101,9.18444,mek
964879,4.591465,6.6573753,ang
1972399,8.94926,10.314051,mek
1682643,4.665754,9.613251,mek
515433,5.5721636,11.820555,mek
1970607,12.782879,7.9683366,mek
574921,9.84737,4.9714847,mek
1486486,8.05157,5.3676405,mek
2262481,10.698721,4.441173,ang
962309,5.142408,6.6520996,ang
455050,8.231191,8.280527,mek
1567443,11.439021,10.877462,mek
966231,5.584882,7.788704,ang
2260067,5.5457506,2.7732465,ang
963634,9.546657,4.28777,ang
455052,8.34534,8.092414,mek
2018190,1.3850892,10.611437,mek
1716689,8.881622,11.613709,mek
1433114,4.253357,7.806643,mek
510886,8.529559,9.839642,mek
1621781,10.011973,9.288951,mek
963974,7.9598927,4.650357,ang
2231000,8.025541,13.072776,mek
510880,8.741764,9.943706,mek
514844,5.9340696,10.527477,mek
1576335,9.3983135,10.072797,mek
2032031,3.9291792,8.276321,mek
1865943,5.763008,11.928182,mek
967933,5.9667764,6.22964,ang
967769,6.3635435,8.141053,ang
1520069,10.648541,11.5892725,mek
2262437,11.128893,3.7714968,ang
965317,10.742088,8.348206,ang
963248,9.213536,4.782408,ang
961298,7.311274,9.479486,ang
961204,4.277271,6.678561,ang
965605,4.7143326,7.8373804,ang
1573304,9.168509,13.435188,mek
1412725,5.5985956,13.159762,mek
1854133,4.5356727,11.067724,mek
741409,7.0040803,7.6364493,mek
1065899,4.5019703,6.4468746,ang
2028373,4.4990993,11.759565,mek
801431,12.637053,6.340404,mek
515294,6.649168,10.004877,mek
966935,4.526189,7.1730337,ang
741195,6.6879535,6.8902044,mek
529278,5.605278,11.415601,mek
525556,9.071788,8.733058,mek
1866220,12.747195,7.973466,mek
964884,10.730519,5.520465,ang
960634,8.575647,3.7835774,ang
501680,12.475749,6.993267,mek
961806,5.8303733,9.45526,ang
740887,5.8339458,7.679627,mek
2222954,4.352489,10.489639,mek
2262420,10.914288,4.0452404,ang
541186,5.7356143,11.555363,mek
1558870,6.228386,10.348461,mek
801768,12.48398,6.3478346,mek
960615,5.2618,5.940924,ang
582470,9.320614,7.8888702,mek
515992,5.9542813,10.251758,mek
737591,12.776699,6.4615264,mek
1569379,8.36936,10.811067,mek
1580048,5.029618,11.796933,mek
1575668,10.852352,6.9132004,mek
960666,4.6437654,8.7116585,ang
1442817,10.909819,8.809162,mek
1399747,8.599915,7.955043,mek
2422507,8.94705,11.321161,mek
968327,4.966415,7.2527957,ang
1413541,5.6260242,13.246361,mek
741002,7.5863647,7.6962647,mek
1866540,4.8257856,12.121667,mek
1969765,12.539356,8.338005,mek
1435441,4.9304047,10.785939,mek
737627,11.758441,7.6320014,mek
829830,9.57263,7.4710298,mek
510879,8.595997,9.471943,mek
966766,4.812325,8.565148,ang
1502053,5.412127,10.350726,mek
966913,6.467227,9.451915,ang
2301425,12.7040615,6.5769005,mek
1702034,6.6618657,10.762594,mek
