,x,y,id
0,19.56356,17.289524,1486397
1,16.349434,-1.9416344,1570538
2,24.51907,3.9368632,525580
3,15.4649105,0.24097222,1442848
4,3.7188876,11.541265,962622
5,-2.1839986,15.099144,959638
6,16.836542,-9.317792,1830664
7,2.7846792,-3.2532413,506319
8,18.250639,-2.504611,1013929
9,-8.602327,-2.3406982,2262394
10,15.233473,-2.5910645,508645
11,-4.120903,9.2645445,1602009
12,12.917102,3.0332625,1435197
13,15.295979,0.5943898,1442691
14,-4.6570935,8.086913,959374
15,5.044705,1.3509349,1486476
16,10.565674,17.099876,965546
17,4.057336,2.9567235,1574018
18,-1.0063432,-1.8822682,1555938
19,3.6704304,-4.0675197,1253090
20,17.693182,-6.3266234,1605436
21,1.5613902,10.362095,967175
22,17.334206,-6.624287,1432817
23,-5.6810174,-6.6205583,1564572
24,17.404293,-2.043753,573286
25,16.727034,5.041572,842114
26,1.6801246,-4.1034775,1423850
27,11.970759,1.7258589,1848256
28,10.144546,14.6009245,967645
29,17.5872,-5.9034796,2264610
30,18.920141,-11.488804,2018340
31,2.9140928,-4.435198,1294552
32,18.407284,-2.0122821,1575668
33,9.287368,6.7529874,2222595
34,2.4995706,9.06742,961678
35,13.703392,4.1063704,798606
36,6.3967185,-3.3541424,1822263
37,18.22805,-10.66876,2032042
38,15.988714,-1.0588423,2394981
39,2.3073602,-9.453879,2260477
40,-5.089741,12.760458,963160
41,14.071207,3.73882,1439203
42,1.7712766,10.453749,967206
43,-3.1535435,13.628952,965120
44,2.8235967,-3.977784,1307509
45,18.599953,-4.048762,1560515
46,9.295082,-13.621073,2260001
47,18.538479,-4.196967,824535
48,8.994884,-13.248523,2260067
49,13.730278,4.0879083,740117
50,6.63986,-1.1496799,1854765
51,10.438214,10.326296,2394458
52,9.938299,15.010639,967031
53,-0.27160388,-3.2455451,538895
54,1.6357756,10.224751,960650
55,19.03576,-11.610063,2018491
56,24.328917,2.5032916,1020833
57,3.74727,11.568545,962060
58,12.702273,3.4489849,960001
59,-4.6161156,8.005185,1936772
60,12.066998,0.9619123,1443110
61,-2.2083073,14.5297165,963793
62,-1.0473098,-1.8743593,514869
63,1.2290405,10.428267,2050202
64,0.9375193,-4.324994,569766
65,18.86352,-11.427954,2030620
66,3.510815,11.380067,958517
67,13.556388,2.9117212,1434916
68,13.752558,3.6246433,1495768
69,0.9512685,9.611021,965451
70,18.483059,7.391059,545938
71,7.6609664,-4.5428286,828416
72,6.1819444,-0.4132673,1656075
73,4.911918,0.8835341,558362
74,-3.8407154,14.043092,1066056
75,-2.320214,15.321393,963248
76,12.523001,2.1093268,1439414
77,8.854421,18.51421,967059
78,9.068591,-13.938979,2260799
79,9.195625,-13.5189085,2259999
80,-4.8048387,8.069509,960127
81,-1.0222769,10.350424,960441
82,-1.7595158,14.065471,967852
83,10.692049,15.535485,962068
84,19.788078,-6.24199,1693447
85,-2.772532,9.702501,965608
86,16.810215,3.7925518,1512626
87,-1.8373812,13.078128,963781
88,17.509386,-4.094224,2297553
89,4.1259255,-4.0312905,1307501
90,-2.9816551,14.546188,967490
91,8.16626,16.915585,958911
92,13.777202,4.2455397,739364
93,-5.127814,8.487104,1835625
94,0.40620264,-2.2442293,503591
95,19.82843,-12.400228,2033213
96,18.63733,6.9802947,2402156
97,18.181679,8.112274,1576718
98,9.365117,6.935164,546165
99,17.793804,5.3315454,1575608
100,8.329785,17.206236,741783
101,8.930772,16.568583,963294
102,-3.656588,10.585113,967711
103,5.5182548,-3.48177,1870510
104,-0.9668048,-1.983892,507387
105,12.313946,10.728265,528762
106,18.015238,5.4268327,1840772
107,-2.1261203,11.726701,740875
108,11.146093,16.696144,962608
109,20.301989,-6.4038258,2038021
110,24.296524,2.475356,525590
111,23.983429,1.928966,1623855
112,17.401312,-6.6463513,1971326
113,18.466354,-2.719081,2302326
114,9.133428,16.815466,959240
115,2.7166822,0.95563525,1928787
116,4.8623586,0.07406944,1877185
117,5.5812497,1.4410698,1866704
118,-5.9070816,6.280233,961226
119,5.742315,3.589481,501087
120,-5.0910316,12.635207,961974
121,2.3114414,-9.447989,2260009
122,16.620686,-3.1129239,1518985
123,-2.6529768,9.245657,741005
124,8.662413,-13.2756,2260747
125,-0.29854506,10.841248,960600
126,18.59052,-11.130639,2032183
127,9.075718,-13.331829,2260092
128,4.9490657,0.07239384,1861326
129,-5.660943,11.505042,797211
130,-5.044599,12.658734,965611
131,6.098811,0.42907074,1716690
132,-2.1053774,14.926208,1435885
133,17.941742,-10.310146,2032039
134,-2.0394986,11.973303,959275
135,5.9591165,0.0045598433,753890
136,16.078197,4.2002354,1722659
137,18.66608,5.5942373,1913281
138,2.2972727,9.693814,966980
139,10.434746,14.759966,961358
140,6.1812763,-0.40821278,572483
141,5.046267,1.3390809,2318971
142,16.26021,-8.266922,1428438
143,18.66269,5.5873666,1913205
144,18.731613,-0.6907557,1870607
145,13.391572,3.2233407,798815
146,8.750517,5.140936,754790
147,6.7773232,-1.2436087,501164
148,18.226522,-10.667231,2029815
149,-4.080661,8.830938,958387
150,5.4734015,2.1181703,1559567
151,5.9750633,4.9322343,1251627
152,-3.5021904,16.112257,958666
153,-8.386186,-2.6054,2025517
154,-5.5564814,11.6324005,962738
155,16.733223,-3.2582364,1970600
156,5.97886,4.9243755,506585
157,-5.703337,-6.644088,1560168
158,9.833006,16.399706,960599
159,-6.071221,-7.0611687,1696127
160,2.1936722,-4.180081,516506
161,-1.7086143,9.5822735,961510
162,-4.6607604,14.559754,963133
163,17.715572,-3.1504796,986753
164,19.148954,-6.0404005,2018854
165,-3.8373125,8.39437,968285
166,10.65633,16.982382,960921
167,7.2802634,2.2632806,1838892
168,9.173503,-13.637487,2260468
169,17.394363,-6.602409,1876276
170,1.7735671,-4.149912,581314
171,8.711635,-13.063291,2260072
172,18.608337,7.393427,1532530
173,10.467901,10.054083,1887687
174,16.80594,3.7566285,1683076
175,17.047766,4.5221896,1603721
